iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss
192,19300,-6.57900,0.56026,-6.74424,0.50374,-6.76766,0.51898
193,19400,-6.56671,0.50062,-6.72477,0.51194,-6.75540,0.49967
194,19500,-6.61559,0.57261,-6.81697,0.50337,-6.83201,0.45389
195,19600,-6.55976,0.56793,-6.79404,0.51513,-6.81569,0.49673
196,19700,-6.54223,0.52783,-6.76970,0.52719,-6.78227,0.51971
197,19800,-6.62861,0.51146,-6.75190,0.50764,-6.80133,0.56115
198,19900,-6.56287,0.53446,-6.83717,0.52068,-6.78802,0.52275
199,20000,-6.60879,0.50404,-6.85016,0.50229,-6.86367,0.53424
200,20100,-6.60787,0.49547,-6.80739,0.51065,-6.86435,0.51691
201,20200,-6.60649,0.49103,-6.78533,0.54296,-6.87339,0.54917
202,20300,-6.58898,0.53055,-6.77850,0.50361,-6.89373,0.56179
203,20400,-6.53007,0.51790,-6.81256,0.51332,-6.90275,0.51851
204,20500,-6.61008,0.52558,-6.92616,0.50201,-6.85763,0.49870
205,20600,-6.62737,0.51275,-6.79657,0.52473,-6.88049,0.49940
206,20700,-6.60765,0.50875,-6.82443,0.55894,-6.86023,0.51231
207,20800,-6.62972,0.50945,-6.83663,0.67914,-6.85407,0.49427
208,20900,-6.58869,0.52560,-6.83190,0.53407,-6.88687,0.50047
209,21000,-6.63938,0.50530,-6.86410,0.53878,-6.93399,0.47131
210,21100,-6.58432,0.58966,-6.88653,0.58969,-6.88482,0.47831
211,21200,-6.61235,0.65832,-6.85965,0.57340,-6.93197,0.47749
212,21300,-6.64969,0.60163,-6.87563,0.62443,-6.94036,0.52810
213,21400,-6.68177,0.53043,-6.91838,0.70095,-6.90351,0.56843
214,21500,-6.59740,0.58950,-6.90497,0.57140,-6.95023,0.51733
215,21600,-6.63086,0.69726,-6.87860,0.59735,-6.89774,0.52264
216,21700,-6.67431,0.54536,-6.93849,0.54368,-6.94739,0.46986
217,21800,-6.64349,0.54166,-6.93852,0.52163,-6.93270,0.48712
218,21900,-6.66078,0.57345,-6.93626,0.51372,-6.95408,0.51894
219,22000,-6.67296,0.54531,-6.84710,0.50979,-6.95005,0.53578
220,22100,-6.69136,0.53561,-6.97668,0.52131,-6.92947,0.47520
221,22200,-6.65194,0.55518,-6.92425,0.54191,-6.95993,0.47169
222,22300,-6.69184,0.55021,-6.87959,0.58019,-6.95151,0.55191
223,22400,-6.65590,0.50626,-6.91380,0.55621,-6.95016,0.51515
224,22500,-6.71688,0.69841,-6.97390,0.50229,-6.97701,0.56534
225,22600,-6.69658,0.60423,-6.97205,0.53888,-6.93929,0.50275
226,22700,-6.74451,0.52080,-6.99817,0.52785,-7.00436,0.59699
227,22800,-6.74458,0.49809,-6.98488,0.55277,-7.02084,0.51560
228,22900,-6.71101,0.51973,-6.91187,0.55447,-7.05522,0.52974
229,23000,-6.74771,0.51648,-6.97594,0.52546,-6.99680,0.49998
230,23100,-6.72112,0.48576,-7.01759,0.53426,-7.02044,0.46543
231,23200,-6.72785,0.49422,-7.04923,0.55387,-6.98314,0.49723
232,23300,-6.72094,0.52874,-7.01846,0.54273,-7.02214,0.56007
233,23400,-6.69369,0.53748,-7.02366,0.57162,-7.00435,0.52362
234,23500,-6.76628,0.48427,-6.97373,0.60603,-7.07213,0.50538
235,23600,-6.72262,0.49082,-7.02265,0.59422,-7.00523,0.51490
236,23700,-6.75918,0.48826,-7.01771,0.55955,-6.94769,0.52298
237,23800,-6.73082,0.50969,-7.01770,0.57544,-7.01626,0.50090
238,23900,-6.76448,0.46004,-7.11066,0.55185,-7.03173,0.48639
239,24000,-6.78053,0.48867,-7.06467,0.54064,-7.08346,0.50446
240,24100,-6.74578,0.58265,-7.05426,0.57459,-6.97715,0.51598
241,24200,-6.73668,0.52524,-7.12003,0.54014,-6.97804,0.52147
242,24300,-6.74468,0.51071,-7.00963,0.55306,-6.99397,0.51083
243,24400,-6.77546,0.48998,-7.16030,0.51395,-6.99926,0.52532
244,24500,-6.73193,0.47415,-7.10050,0.55326,-7.06372,0.49348
245,24600,-6.73920,0.50279,-7.09916,0.57438,-7.03904,0.49725
246,24700,-6.75859,0.49062,-7.10764,0.54817,-7.04999,0.50694
247,24800,-6.73437,0.53514,-7.11740,0.55581,-7.02425,0.51576
248,24900,-6.67536,0.53186,-7.15566,0.57181,-6.99049,0.52866
