iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value,4_iql_loss,4_count_value
207,20800,2.70269,0.32727,2.53665,0.33490,2.16978,0.33574,1.96034,0.30887
208,20900,2.62863,0.32742,2.52246,0.33119,2.31579,0.33630,2.19011,0.31150
209,21000,2.49014,0.32814,2.79458,0.33417,2.39185,0.33342,2.18534,0.31473
210,21100,2.60509,0.32508,2.52871,0.33238,2.42826,0.33516,2.05040,0.31306
211,21200,2.72780,0.32541,2.67184,0.33567,2.36796,0.33544,2.13425,0.31009
212,21300,2.54200,0.32666,2.49233,0.33260,2.42753,0.33694,2.23067,0.31340
213,21400,2.74646,0.32615,2.68743,0.33251,2.34642,0.33498,2.10622,0.31107
214,21500,2.59644,0.32513,2.51415,0.33211,2.17534,0.33536,2.42955,0.31281
215,21600,2.77071,0.32814,2.51038,0.33409,2.24328,0.33405,2.18392,0.31312
216,21700,2.72089,0.32546,2.50126,0.33302,2.17315,0.33345,2.11825,0.31138
217,21800,2.70472,0.32630,2.60587,0.33249,2.49382,0.33485,2.36722,0.31308
218,21900,2.65846,0.32715,2.56614,0.33447,2.40892,0.33311,2.33930,0.31088
219,22000,2.64060,0.32501,2.51156,0.33636,2.29552,0.33327,2.26989,0.31337
220,22100,2.60706,0.32874,2.64507,0.33086,2.17941,0.33485,2.04408,0.31054
221,22200,2.76687,0.32725,2.48780,0.33441,2.51463,0.33470,1.98892,0.31090
222,22300,2.62839,0.32554,2.57270,0.33518,2.35554,0.33613,2.10795,0.30906
223,22400,2.51897,0.32684,2.48276,0.33492,2.30452,0.33460,2.22691,0.30996
224,22500,2.77381,0.32584,2.37942,0.32896,2.31235,0.33353,2.12313,0.30940
225,22600,2.46867,0.32832,2.42272,0.33320,2.21430,0.33299,2.14112,0.31138
226,22700,2.65997,0.32371,2.38474,0.33423,2.32267,0.33335,2.15774,0.31161
227,22800,2.83740,0.32886,2.33513,0.33268,2.20107,0.33407,2.15751,0.31142
228,22900,2.33254,0.32516,2.50149,0.33151,2.20876,0.33125,2.04168,0.30918
229,23000,2.44940,0.32465,2.45572,0.33218,2.16224,0.33084,2.25410,0.30663
230,23100,2.63198,0.32713,2.43031,0.33387,2.21490,0.33324,2.33809,0.30908
231,23200,2.46049,0.32618,2.59153,0.33166,2.22346,0.33129,2.03844,0.30883
232,23300,2.70895,0.32661,2.51437,0.33374,2.24423,0.33051,2.17691,0.30730
233,23400,2.55481,0.32289,2.44892,0.33357,2.11207,0.33080,2.07402,0.30403
234,23500,2.45882,0.32404,2.49019,0.33195,2.20238,0.33120,2.24252,0.30732
235,23600,2.49760,0.32577,2.62579,0.33247,2.25393,0.33219,2.06321,0.30540
236,23700,2.45196,0.32559,2.60152,0.33216,2.27427,0.33053,2.11469,0.30765
237,23800,2.61884,0.32370,2.48077,0.33106,2.43570,0.33035,2.15360,0.30569
238,23900,2.40113,0.32454,2.59252,0.33237,2.41191,0.33114,2.17245,0.30421
239,24000,2.67366,0.32402,2.48264,0.33085,2.40645,0.32924,2.14224,0.30709
240,24100,2.40631,0.32633,2.56355,0.33125,2.37303,0.33024,2.12101,0.30470
241,24200,2.67474,0.32606,2.34066,0.33292,2.19985,0.33023,1.99053,0.30566
242,24300,2.47844,0.32341,2.54711,0.33263,2.18983,0.33081,2.25611,0.30620
243,24400,2.42607,0.32348,2.48422,0.33135,2.21391,0.32974,2.03389,0.30647
244,24500,2.39820,0.32339,2.40299,0.33302,2.43841,0.33213,2.12969,0.30856
245,24600,2.43684,0.32070,2.46609,0.33272,2.32201,0.32930,2.18958,0.30239
246,24700,2.50732,0.32213,2.48192,0.33152,2.23330,0.32914,2.00740,0.30553
247,24800,2.34259,0.32203,2.46207,0.32928,2.25321,0.33134,2.06466,0.30617
248,24900,2.33482,0.32294,2.40225,0.33200,2.33055,0.32802,2.08358,0.30657
