iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_rnd_forward_loss
115,11600,-22.56823,1.74784,0.42179,-22.25765,1.30877,0.41670,-22.17574,1.67477,0.40657,-28.99761,0.84534,0.50516
116,11700,-22.73295,1.26228,0.41974,-22.21168,1.41107,0.41386,-22.07596,1.59532,0.40367,-28.84696,0.91541,0.50147
117,11800,-22.54693,1.12276,0.41693,-21.91572,1.31340,0.41204,-22.12471,2.13122,0.40111,-28.76469,0.84747,0.49873
118,11900,-22.32048,1.10935,0.41451,-22.04656,1.23082,0.40956,-22.13887,1.28714,0.39774,-28.55454,0.88232,0.49544
119,12000,-22.41866,1.42496,0.41221,-21.92610,1.31791,0.40700,-21.89291,1.25296,0.39592,-28.34126,0.91353,0.49266
120,12100,-22.27054,1.41606,0.40973,-21.78897,1.27961,0.40469,-21.87270,1.28695,0.39373,-28.26762,0.80833,0.48948
121,12200,-22.28398,1.11407,0.40757,-21.78870,1.12306,0.40228,-21.76432,1.31886,0.39129,-28.10392,0.83407,0.48638
122,12300,-22.12586,1.12285,0.40457,-21.67231,1.88989,0.40009,-21.67161,1.25316,0.38905,-27.96542,0.86547,0.48355
123,12400,-22.03628,1.26176,0.40282,-21.56576,2.61237,0.39788,-21.82894,1.65251,0.38658,-27.91826,0.83158,0.48044
124,12500,-21.85956,1.40489,0.40045,-21.43906,1.38658,0.39550,-21.53675,1.30180,0.38440,-27.75817,0.82982,0.47750
125,12600,-21.74709,1.25446,0.39796,-21.40110,1.26410,0.39301,-21.44886,1.34715,0.38182,-27.77561,0.75365,0.47522
126,12700,-21.76947,1.25968,0.39535,-21.21408,1.74945,0.39099,-21.39897,1.74741,0.37943,-27.61940,0.82880,0.47162
