iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value,4_maddpg_actor_loss,4_maddpg_critic_loss,4_count_value
134,13500,-16.92603,2.01548,0.17809,-16.99181,1.93862,0.17823,-17.02604,1.75415,0.18013,-17.40903,1.72041,0.17935
135,13600,-17.05676,2.03830,0.17918,-17.07173,1.78540,0.17908,-16.97982,1.97692,0.17864,-17.52925,1.61558,0.17860
136,13700,-16.99511,2.05432,0.17903,-16.97571,1.84385,0.17895,-16.97725,2.47801,0.17852,-17.51478,1.69497,0.17900
137,13800,-17.09545,2.10712,0.17767,-17.03979,1.92423,0.17789,-17.02561,2.08662,0.17930,-17.59763,1.51213,0.17929
138,13900,-17.03365,2.02910,0.18029,-17.01621,2.08182,0.17869,-16.98542,1.79486,0.17818,-17.65623,1.65173,0.17907
139,14000,-16.87308,1.96610,0.17907,-17.02282,1.66559,0.17747,-17.03497,1.96325,0.17856,-17.71630,1.57704,0.18070
140,14100,-17.08870,1.97843,0.17947,-16.97247,1.70100,0.17827,-17.03530,1.82681,0.17810,-17.68606,1.56993,0.17900
141,14200,-16.90008,2.00017,0.17918,-17.07534,1.64168,0.17732,-17.02575,1.83817,0.17813,-17.76063,1.74291,0.17932
142,14300,-16.98401,1.99383,0.17881,-17.14278,1.67223,0.17815,-17.13040,1.94680,0.17849,-17.85736,1.65575,0.17669
143,14400,-17.09031,1.98677,0.17720,-17.04688,1.80305,0.17769,-17.09008,1.87710,0.17951,-17.92440,1.55476,0.17789
144,14500,-17.10733,2.10209,0.17648,-17.07857,2.25894,0.17994,-17.07611,2.27489,0.17977,-17.93311,1.52844,0.17782
145,14600,-17.15316,2.44169,0.17794,-17.13452,2.14950,0.17888,-17.12538,1.99006,0.17858,-17.96504,1.44623,0.17771
146,14700,-17.16139,2.00068,0.17757,-17.23043,1.89843,0.17875,-17.10315,1.90849,0.18035,-18.01171,1.54332,0.17763
147,14800,-17.19771,2.05224,0.17880,-17.06115,1.95313,0.17907,-16.92392,2.55876,0.17676,-18.00561,1.76415,0.17618
148,14900,-17.15740,1.93629,0.17746,-17.14780,2.17156,0.17668,-17.09330,2.11244,0.17708,-18.17813,1.46631,0.17779
149,15000,-17.27239,1.98496,0.17767,-17.16486,1.69912,0.17687,-17.05640,2.11009,0.17756,-17.99789,1.89201,0.17795
150,15100,-17.26258,1.80601,0.17843,-17.10085,1.91052,0.17707,-17.01048,2.31594,0.17806,-18.29740,1.81146,0.17823
151,15200,-17.26284,2.03009,0.17709,-17.20554,1.78634,0.17912,-17.01352,1.91920,0.17654,-18.21068,1.68211,0.17572
152,15300,-17.20229,2.20847,0.17638,-17.10233,1.77362,0.17844,-17.03014,1.84868,0.17842,-18.27720,1.75677,0.17856
153,15400,-17.32316,1.77791,0.17686,-17.12119,1.70001,0.17605,-17.03647,1.80451,0.17595,-18.27467,1.89232,0.17849
154,15500,-17.34147,1.69487,0.17640,-17.14911,1.61862,0.17621,-16.91578,1.94046,0.17686,-18.45630,1.91483,0.17663
155,15600,-17.39342,1.71344,0.17759,-17.14449,1.74344,0.17733,-17.06986,2.05589,0.17683,-18.44142,1.67390,0.17753
156,15700,-17.41762,1.74044,0.17781,-17.16828,2.26611,0.17707,-17.12249,1.86470,0.17711,-18.52910,1.73599,0.17643
157,15800,-17.30721,1.89516,0.17664,-16.95880,1.88401,0.17649,-16.93038,1.70161,0.17615,-18.54442,1.60877,0.17778
158,15900,-17.44224,2.40551,0.17572,-17.04004,2.11286,0.17653,-17.02244,2.01087,0.17389,-18.57350,1.63700,0.17715
159,16000,-17.47168,1.92184,0.17560,-17.07473,1.73942,0.17471,-17.09044,1.78768,0.17656,-18.63175,1.65818,0.17548
160,16100,-17.48753,1.88656,0.17692,-17.03489,1.73508,0.17542,-17.01642,1.68313,0.17610,-18.57208,1.81627,0.17609
161,16200,-17.54696,1.88264,0.17534,-16.99505,1.92458,0.17580,-17.07966,1.62526,0.17458,-18.75432,1.58275,0.17657
162,16300,-17.50270,1.85310,0.17637,-17.10448,2.11096,0.17414,-16.95939,1.64924,0.17453,-18.83366,1.67796,0.17577
163,16400,-17.46825,1.68312,0.17452,-16.96943,1.59996,0.17374,-16.97990,1.59087,0.17556,-18.78103,1.66781,0.17388
164,16500,-17.56519,1.78729,0.17532,-17.02502,1.71024,0.17413,-16.92059,1.58084,0.17442,-18.85157,1.59876,0.17409
165,16600,-17.56737,1.63039,0.17528,-16.98154,1.66957,0.17276,-16.97776,1.64022,0.17369,-18.80073,1.67974,0.17401
166,16700,-17.62211,1.63715,0.17619,-17.11248,1.67692,0.17550,-17.04234,1.56823,0.17489,-18.89770,1.67964,0.17344
167,16800,-17.58600,1.59294,0.17321,-17.02365,1.76340,0.17414,-16.93670,1.58219,0.17409,-18.95326,1.76304,0.17238
168,16900,-17.58234,1.73896,0.17242,-16.98846,1.65673,0.17398,-16.92931,1.61510,0.17388,-18.98757,1.61712,0.17414
169,17000,-17.55902,1.80165,0.17328,-16.92326,1.94709,0.17417,-17.00120,1.64031,0.17553,-18.97314,1.63863,0.17244
170,17100,-17.65747,1.65642,0.17276,-16.87696,1.73167,0.17286,-16.92170,1.82500,0.17396,-19.04402,1.64228,0.17310
171,17200,-17.67930,1.74530,0.17321,-16.95163,1.82418,0.17338,-16.95577,1.69906,0.17281,-19.03958,1.91532,0.17410
172,17300,-17.72192,1.58399,0.17209,-16.96905,1.56763,0.17432,-16.98169,1.65672,0.17332,-18.97366,1.80881,0.17400
173,17400,-17.67598,1.59190,0.17101,-16.99258,1.63217,0.17254,-16.99469,1.71482,0.17233,-18.88245,1.74205,0.17199
174,17500,-17.75784,1.63766,0.17219,-16.96616,1.80078,0.17264,-16.88517,1.80472,0.17159,-18.96299,1.68446,0.17193
175,17600,-17.69841,1.59313,0.17251,-16.77658,1.91244,0.17219,-17.02055,1.74880,0.17157,-18.90155,1.68986,0.17209
176,17700,-17.77342,1.60189,0.17082,-16.80676,1.71685,0.17213,-16.93176,1.85999,0.17118,-19.14642,1.67346,0.17018
177,17800,-17.73216,1.72894,0.17155,-16.91770,1.84904,0.17253,-16.92278,1.67815,0.17102,-19.07542,1.69765,0.17195
178,17900,-17.82805,1.73648,0.17224,-16.71794,1.83154,0.17180,-16.89141,1.64786,0.17151,-19.02447,1.73224,0.16969
179,18000,-17.86426,1.57769,0.17250,-16.89106,1.87843,0.17281,-16.94282,1.84047,0.17088,-19.04906,1.68260,0.17013
180,18100,-17.73903,1.85250,0.17303,-16.83736,1.72033,0.17091,-16.78848,1.73715,0.17176,-19.11779,1.77739,0.17108
181,18200,-17.79661,2.00469,0.17266,-16.75331,1.68541,0.17041,-16.78101,1.79528,0.17011,-19.06411,1.84177,0.17039
182,18300,-17.80690,1.84181,0.17043,-16.65928,1.62257,0.17082,-16.82802,1.69362,0.17195,-18.97278,1.87468,0.17016
183,18400,-17.63649,1.85638,0.17214,-16.78549,1.65584,0.17181,-16.78680,1.77195,0.17074,-19.03488,1.68722,0.17047
184,18500,-17.64900,1.82190,0.17141,-16.85170,1.98092,0.17226,-16.80547,1.75792,0.17115,-19.07286,1.82812,0.17181
185,18600,-17.74341,1.93179,0.17176,-16.62971,1.83138,0.17165,-16.73736,1.76317,0.17116,-19.13487,1.63145,0.17034
186,18700,-17.68355,1.59577,0.17149,-16.86846,1.68554,0.17035,-16.72606,1.73281,0.17146,-19.02734,1.53368,0.16904
187,18800,-17.78879,1.66667,0.17174,-16.69260,1.82851,0.17136,-16.77939,1.82251,0.17161,-19.06750,1.60387,0.17128
188,18900,-17.70590,1.60903,0.17019,-16.80216,1.80195,0.17050,-16.76205,1.79945,0.16904,-19.08648,1.64729,0.17086
189,19000,-17.85189,1.59074,0.17006,-16.79363,1.62916,0.16941,-16.81148,1.75605,0.17144,-19.08281,1.64379,0.16858
190,19100,-17.83927,1.75489,0.17075,-16.80180,1.68409,0.16873,-16.73620,1.74090,0.17122,-19.08529,1.56493,0.16822
191,19200,-17.77700,1.67372,0.16953,-16.82044,1.83965,0.17077,-16.79275,1.74832,0.16820,-19.11909,1.72592,0.17256
192,19300,-17.83120,1.71058,0.17059,-16.80599,1.67978,0.16821,-16.75117,1.89914,0.17049,-19.16901,1.65763,0.16958
