iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,4_maddpg_actor_loss,4_maddpg_critic_loss
205,20600,-0.36014,1.15925,-0.81215,1.28007,-0.39864,1.21247,-0.71367,1.10214
206,20700,-0.33435,1.16980,-0.76982,1.24472,-0.37772,1.23598,-0.65809,1.08896
207,20800,-0.46449,1.24713,-0.83523,1.29249,-0.39948,1.22138,-0.67438,1.08787
208,20900,-0.42300,1.18566,-0.85273,1.31333,-0.41324,1.24414,-0.66324,1.10611
209,21000,-0.51134,1.20624,-0.88295,1.31414,-0.41142,1.21636,-0.64663,1.12797
210,21100,-0.52752,1.21649,-0.90953,1.29897,-0.35518,1.18623,-0.63569,1.08368
211,21200,-0.53814,1.22582,-0.92114,1.31411,-0.41258,1.26870,-0.64683,1.07086
212,21300,-0.57052,1.22771,-0.99263,1.39627,-0.41245,1.23863,-0.62934,1.12352
213,21400,-0.60943,1.27875,-0.95043,1.33359,-0.38361,1.18902,-0.61819,1.13677
214,21500,-0.63421,1.26930,-1.00288,1.39087,-0.37656,1.26334,-0.59136,1.11957
215,21600,-0.69238,1.30873,-1.06881,1.36249,-0.41714,1.24519,-0.60204,1.06853
216,21700,-0.73774,1.34187,-1.08822,1.38261,-0.45242,1.28224,-0.62192,1.09370
217,21800,-0.79448,1.30654,-1.15508,1.40540,-0.44602,1.26795,-0.60433,1.09843
218,21900,-0.86302,1.37689,-1.14071,1.39551,-0.48867,1.24109,-0.56145,1.11986
219,22000,-0.86612,1.36950,-1.22252,1.48979,-0.53463,1.31440,-0.54884,1.09910
220,22100,-0.97111,1.40583,-1.27400,1.51611,-0.49898,1.22244,-0.53389,1.15223
221,22200,-1.00071,1.47892,-1.25654,1.45008,-0.52301,1.30887,-0.48705,1.16736
222,22300,-0.99434,1.55414,-1.23837,1.43450,-0.55846,1.30157,-0.47816,1.15912
223,22400,-1.04674,1.41444,-1.31860,1.49175,-0.55156,1.32051,-0.47151,1.20046
224,22500,-1.11760,1.53790,-1.34930,1.51011,-0.57504,1.32469,-0.48332,1.19126
225,22600,-1.13523,1.61352,-1.35015,1.44395,-0.54775,1.34543,-0.46459,1.23346
226,22700,-1.17948,1.53924,-1.33325,1.50673,-0.56353,1.35450,-0.42600,1.18673
227,22800,-1.21745,1.61393,-1.36776,1.61370,-0.56505,1.30849,-0.42730,1.20280
228,22900,-1.20744,1.62075,-1.36150,1.48432,-0.58279,1.31758,-0.40171,1.21276
229,23000,-1.17006,1.54571,-1.34389,1.48512,-0.63347,1.37359,-0.39865,1.20629
230,23100,-1.19678,1.54717,-1.28756,1.46483,-0.59134,1.28787,-0.41012,1.22669
231,23200,-1.22518,1.58859,-1.30886,1.50143,-0.69672,1.31750,-0.39459,1.20130
232,23300,-1.25691,1.65731,-1.30005,1.49677,-0.65021,1.34610,-0.35346,1.20373
233,23400,-1.18544,1.55731,-1.26579,1.50017,-0.61769,1.27485,-0.41030,1.21142
234,23500,-1.26527,1.66899,-1.33615,1.54824,-0.65547,1.37113,-0.33611,1.12952
235,23600,-1.26359,1.57651,-1.29028,1.45884,-0.66813,1.37908,-0.37094,1.12823
236,23700,-1.25340,1.59944,-1.31859,1.46087,-0.65556,1.33724,-0.34912,1.15880
237,23800,-1.24120,1.57802,-1.25469,1.47083,-0.60409,1.34720,-0.33989,1.21146
238,23900,-1.21018,1.60455,-1.28467,1.46568,-0.59170,1.37161,-0.35942,1.16909
239,24000,-1.17669,1.57726,-1.25846,1.51502,-0.57268,1.36354,-0.34448,1.20288
240,24100,-1.17952,1.57274,-1.29547,1.50651,-0.59877,1.32814,-0.35274,1.19856
241,24200,-1.19409,1.55244,-1.23508,1.50278,-0.57997,1.33194,-0.34782,1.21377
242,24300,-1.15575,1.61260,-1.23492,1.48746,-0.60673,1.40789,-0.35238,1.25888
243,24400,-1.14057,1.52866,-1.19345,1.40100,-0.62226,1.38165,-0.33470,1.21166
244,24500,-1.15199,1.58614,-1.21778,1.44886,-0.58924,1.40390,-0.32576,1.26239
245,24600,-1.15159,1.51070,-1.18911,1.39433,-0.52844,1.33580,-0.31077,1.26050
246,24700,-1.07696,1.54730,-1.16167,1.48330,-0.53341,1.37021,-0.32658,1.26567
247,24800,-1.10103,1.57678,-1.14928,1.41836,-0.53960,1.41970,-0.34428,1.28080
248,24900,-1.07159,1.51473,-1.15436,1.46385,-0.50828,1.37292,-0.32175,1.32021
