iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_rnd_forward_loss
168,16900,-12.86722,1.05970,0.18095,-14.21264,1.32364,0.18348,-13.28671,1.06924,0.18526,-13.02879,1.12917,0.16927
169,17000,-12.71505,1.01902,0.18076,-13.95169,1.10094,0.18170,-13.17270,1.18983,0.18341,-12.81887,1.13156,0.16926
170,17100,-12.59913,0.96207,0.18032,-13.84821,1.01421,0.18096,-13.07032,1.05608,0.18245,-12.86622,0.97053,0.16767
171,17200,-12.49271,1.07474,0.17908,-13.68374,1.09399,0.17908,-12.95901,0.99033,0.18052,-12.82606,0.97092,0.16694
172,17300,-12.38554,0.99412,0.17773,-13.51397,1.08735,0.17864,-12.83207,1.04578,0.17984,-12.71508,0.92650,0.16609
173,17400,-12.34210,1.09381,0.17692,-13.41486,0.92767,0.17751,-12.71114,1.01996,0.17795,-12.58853,1.11663,0.16620
174,17500,-12.24924,1.16356,0.17486,-13.26365,1.02113,0.17622,-12.62512,1.06424,0.17717,-12.53821,0.98566,0.16462
175,17600,-12.13808,1.10261,0.17435,-13.11368,1.03398,0.17583,-12.52344,1.02628,0.17615,-12.38409,0.96265,0.16265
176,17700,-12.05433,1.11901,0.17411,-13.06458,1.11433,0.17452,-12.41361,1.01462,0.17593,-12.31318,0.86371,0.16368
177,17800,-11.99395,1.03557,0.17260,-12.96539,1.01544,0.17293,-12.28950,1.02955,0.17470,-12.22798,0.90863,0.16233
178,17900,-11.85065,1.10347,0.17168,-12.82749,1.03426,0.17314,-12.17501,1.05119,0.17321,-12.12700,0.90044,0.16045
179,18000,-11.80199,1.13076,0.17139,-12.69830,0.98855,0.17067,-12.06666,1.02746,0.17184,-12.03409,0.85461,0.16037
180,18100,-11.73176,1.04089,0.17016,-12.56504,1.06245,0.17013,-11.96799,1.05335,0.17169,-12.05505,1.06308,0.15949
181,18200,-11.69721,1.08151,0.16871,-12.42228,1.04810,0.16954,-11.85103,0.98388,0.16964,-11.81906,1.09117,0.15867
182,18300,-11.48218,1.05322,0.16752,-12.30201,1.05941,0.16779,-11.73119,1.07095,0.16985,-11.89777,1.09310,0.15753
183,18400,-11.43807,1.12140,0.16689,-12.18199,0.95970,0.16772,-11.63146,1.03202,0.16822,-11.72240,0.87819,0.15724
184,18500,-11.31906,0.97561,0.16573,-12.06147,0.96041,0.16615,-11.54303,1.00170,0.16786,-11.72786,0.94470,0.15575
185,18600,-11.35985,1.10227,0.16547,-11.95836,1.02562,0.16637,-11.48343,1.06521,0.16695,-11.61044,0.88690,0.15628
186,18700,-11.18082,1.08463,0.16377,-11.84530,1.05371,0.16426,-11.35863,1.06959,0.16612,-11.53088,0.89120,0.15531
187,18800,-11.07957,1.05634,0.16397,-11.75925,1.01621,0.16368,-11.42099,1.01483,0.16457,-11.46312,0.91579,0.15320
188,18900,-10.97541,0.97671,0.16276,-11.65441,0.94239,0.16277,-11.36936,1.25179,0.16318,-11.42212,1.02852,0.15340
189,19000,-10.90815,1.01654,0.16189,-11.55422,0.93047,0.16251,-11.18068,1.10588,0.16245,-11.37545,0.84292,0.15280
190,19100,-10.78612,1.04196,0.16146,-11.43596,1.06130,0.16071,-11.10692,1.03542,0.16180,-11.21297,0.91355,0.15159
