iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_rnd_forward_loss
168,16900,-3.59164,0.96316,0.03946,-3.46979,1.14411,0.03913,-3.67319,1.02946,0.03915,-6.14625,0.48737,0.03941
169,17000,-3.51972,1.03418,0.03895,-3.42905,1.00890,0.03891,-3.61682,1.04706,0.03902,-6.10207,0.49091,0.03902
170,17100,-3.46483,1.03445,0.03853,-3.34643,1.06410,0.03879,-3.55768,1.01400,0.03836,-6.04652,0.48841,0.03842
171,17200,-3.35529,1.04076,0.03805,-3.32317,0.88752,0.03796,-3.52306,1.01228,0.03827,-6.07762,0.52894,0.03808
172,17300,-3.30707,0.98668,0.03783,-3.31441,0.97352,0.03768,-3.47308,1.06329,0.03765,-5.96467,0.60143,0.03787
173,17400,-3.28004,0.99078,0.03741,-3.19852,1.05455,0.03737,-3.41365,0.95124,0.03733,-5.88660,0.61153,0.03758
174,17500,-3.22994,0.99177,0.03717,-3.19767,0.95172,0.03722,-3.36867,1.02562,0.03710,-5.89566,0.53179,0.03717
175,17600,-3.16101,0.85623,0.03678,-3.13676,0.96613,0.03680,-3.33859,0.99007,0.03679,-5.84103,0.51864,0.03691
176,17700,-3.14568,0.98435,0.03656,-3.10029,0.90736,0.03635,-3.29470,1.05808,0.03632,-5.76246,0.51308,0.03636
177,17800,-3.10772,0.97299,0.03611,-3.10241,0.97942,0.03631,-3.28619,1.04333,0.03609,-5.74038,0.50604,0.03603
178,17900,-3.11641,0.98720,0.03567,-3.02953,1.05596,0.03570,-3.20648,1.04968,0.03584,-5.68654,0.53926,0.03574
179,18000,-3.02820,0.93750,0.03526,-3.05534,1.00755,0.03560,-3.18168,1.13223,0.03547,-5.64626,0.54658,0.03575
180,18100,-3.02827,0.96728,0.03524,-2.99787,1.00852,0.03531,-3.15922,1.03179,0.03534,-5.66769,0.49521,0.03537
181,18200,-3.01247,1.11416,0.03509,-3.03559,1.15905,0.03499,-3.11945,1.08675,0.03489,-5.54559,0.53436,0.03492
182,18300,-2.97547,1.05755,0.03468,-2.99453,1.14379,0.03469,-2.99667,1.01238,0.03472,-5.52910,0.54847,0.03480
