iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,4_maddpg_actor_loss,4_maddpg_critic_loss
196,19700,-0.24096,0.92280,-0.15647,0.79424,-0.24188,0.87623,-0.81500,0.93414
197,19800,-0.24049,1.08226,-0.19501,0.94415,-0.23316,0.86459,-0.82819,0.83940
198,19900,-0.23963,0.92639,-0.15568,1.14921,-0.26453,1.14229,-0.80160,0.86211
199,20000,-0.21330,0.90245,-0.17466,0.71833,-0.21940,0.85055,-0.79548,0.89276
200,20100,-0.24646,1.29534,-0.16347,0.93227,-0.23408,0.95889,-0.82722,0.84109
201,20200,-0.21524,0.68475,-0.15463,0.86541,-0.21751,0.77634,-0.77586,0.93521
202,20300,-0.18838,0.65055,-0.15917,0.90655,-0.23043,1.28345,-0.79585,0.87064
203,20400,-0.20083,0.68541,-0.16332,0.83205,-0.23170,0.90556,-0.79806,0.83953
204,20500,-0.20990,1.10955,-0.18448,1.45262,-0.19421,0.88943,-0.80823,0.81314
205,20600,-0.19991,1.03879,-0.15550,0.89800,-0.19074,0.87985,-0.80332,0.80233
206,20700,-0.20184,0.99822,-0.16281,1.57466,-0.21215,1.19183,-0.81105,0.86109
207,20800,-0.19859,0.92959,-0.15377,1.06792,-0.22094,0.84616,-0.79481,0.80587
208,20900,-0.23090,0.84319,-0.18857,1.33864,-0.18572,0.72964,-0.78897,0.83981
209,21000,-0.22323,1.33457,-0.19026,0.95173,-0.20596,1.01961,-0.81468,0.87378
210,21100,-0.22337,1.24988,-0.16265,0.92605,-0.20839,1.27164,-0.80622,0.86011
211,21200,-0.20375,1.00408,-0.18602,1.18710,-0.21397,1.30891,-0.82512,0.84182
212,21300,-0.20130,1.22229,-0.16838,0.97605,-0.20293,0.77132,-0.82348,0.78575
213,21400,-0.21265,0.85603,-0.16371,0.86914,-0.18986,0.78664,-0.83002,0.77671
214,21500,-0.21953,1.16473,-0.14462,0.82487,-0.16574,0.81413,-0.81831,0.82827
215,21600,-0.20780,0.89188,-0.15517,1.39869,-0.17154,0.71176,-0.80641,0.76296
216,21700,-0.18693,0.58638,-0.15511,0.79338,-0.18837,0.92121,-0.79140,0.80623
217,21800,-0.18913,0.79056,-0.14702,0.91911,-0.17851,0.75892,-0.78933,0.78311
218,21900,-0.20716,1.27195,-0.14767,1.09671,-0.19000,0.94320,-0.78682,0.79896
219,22000,-0.16667,0.73816,-0.15693,1.00234,-0.18251,0.99747,-0.78529,0.82387
220,22100,-0.21332,0.98900,-0.14991,1.02325,-0.17330,0.88929,-0.77792,0.80277
221,22200,-0.16184,1.09170,-0.14549,1.44207,-0.19529,1.16057,-0.78098,0.81593
222,22300,-0.18223,0.73890,-0.13097,0.75788,-0.21766,0.96382,-0.79095,0.88911
223,22400,-0.17474,0.78611,-0.15523,0.88741,-0.15595,0.84055,-0.78009,0.83439
